block 0000 | PDF 2 | trang 2 | BỘ CÔNG THƯƠNG
block 0600 | PDF 59 | trang 49 | Do mô hình chưa có nhãn riêng để phân biệt người điều khiển với người ngồi sau, một track_id được xác nhận NO_HELMET chỉ cho biết xe máy đó có ít nhất một vùng đầu không đội mũ được liên kết và duy trì đủ điều kiện xác nhận. Kết quả này không được hiểu là hệ thống đã xác định chắc chắn người điều khiển là người không đội mũ bảo hiểm.
block 0601 | PDF 59 | trang 49 | 3.3.4. Ghi nhận minh chứng và tổng hợp số lượng
block 0602 | PDF 59 | trang 49 | Minh chứng được lưu để người dùng kiểm tra các trường hợp không đội mũ và đối chiếu với số liệu thống kê. Mỗi trường hợp được ghi nhận phải liên kết với tệp nguồn và phiên phân tích tương ứng.
block 0603 | PDF 59 | trang 49 | 3.3.4.1. Tạo ảnh minh chứng
block 0604 | PDF 59 | trang 49 | Đối với ảnh tĩnh, hệ thống tạo minh chứng cho từng đối tượng được xác định không đội mũ sau bước liên kết. Đối với video, minh chứng được tạo tại lần đầu mã đối tượng đạt điều kiện xác nhận theo mục 3.3.3.
block 0605 | PDF 59 | trang 49 | Vùng ảnh minh chứng được xác định từ khung đối tượng, kết hợp với khung vùng đầu nếu có. Vùng cắt được mở rộng để giữ lại ngữ cảnh xung quanh và giới hạn trong kích thước ảnh. Trên minh chứng, hệ thống thể hiện khung đối tượng, trạng thái và độ tin cậy; với video có thêm mã theo dõi và thời điểm xác nhận.
block 0606 | PDF 59 | trang 49 | 3.3.4.2. Lưu thông tin ghi nhận
block 0607 | PDF 60 | trang 50 | Thông tin của mỗi trường hợp gồm mã phiên, mã tệp nguồn, mã đối tượng, tọa độ khung giới hạn, độ tin cậy, trạng thái và đường dẫn ảnh minh chứng. Đối với video, bản ghi bổ sung số thứ tự khung hình và thời điểm tương đối tính từ đầu video.
block 0608 | PDF 60 | trang 50 | Ảnh minh chứng được lưu trong kho tệp; cơ sở dữ liệu lưu thông tin mô tả và đường dẫn để phục vụ truy xuất. Mã theo dõi được sử dụng trong phạm vi từng video, vì vậy cần kết hợp với mã tệp nguồn khi xác định một trường hợp cụ thể. Các trường về khung hình và thời điểm video không áp dụng cho ảnh tĩnh.
block 0609 | PDF 60 | trang 50 | 3.3.4.3. Tổng hợp số lượng
block 0610 | PDF 60 | trang 50 | Số liệu được tổng hợp theo từng tệp trước khi cộng lên phiên phân tích. Đơn vị đếm của hệ thống là xe máy; đối với video, một xe được biểu diễn bằng một track_id trong phạm vi tệp đang xử lý.
block 0611 | PDF 60 | trang 50 | Đối với ảnh tĩnh, tổng số đối tượng là số xe máy được phát hiện. Mỗi xe được phân vào một trong ba trạng thái HELMET, NO_HELMET hoặc UNKNOWN dựa trên các vùng đầu đã liên kết. Những vùng đầu không liên kết được với xe không được tính thành đối tượng độc lập.
block 0612 | PDF 60 | trang 50 | Đối với video, tổng số đối tượng là số track_id xe máy được tạo trong lịch sử theo dõi. Số trường hợp NO_HELMET là số track_id đã đạt điều kiện xác nhận. Những mã chưa đủ thông tin hoặc chưa đạt điều kiện xác nhận được giữ ở nhóm chưa xác định khi cần tổng hợp.
block 0613 | PDF 60 | trang 50 | Đối với phiên phân tích, số liệu được cộng từ các tệp xử lý thành công; các tệp thất bại không tham gia kết quả tổng hợp.
block 0614 | PDF 60 | trang 50 | Việc tổng hợp giữa các tệp chưa loại bỏ trường hợp cùng một xe xuất hiện trong nhiều ảnh hoặc video khác nhau. Do đó, các số liệu phản ánh số đối tượng được hệ thống ghi nhận trong phạm vi dữ liệu đã phân tích, không được hiểu là số phương tiện duy nhất ngoài thực tế.
block 0615 | PDF 60 | trang 50 | 3.4. Thiết kế cơ sở dữ liệu và lưu trữ
block 0616 | PDF 61 | trang 51 | Cơ sở dữ liệu được thiết kế để quản lý tài khoản, dự án, địa điểm, phiên phân tích và kết quả nhận diện. Thông tin được tổ chức theo các bảng có liên kết, giúp truy xuất từ số liệu tổng hợp đến từng tệp và minh chứng tương ứng. Hệ thống sử dụng SQLite trong cấu hình mặc định và SQLAlchemy để truy cập dữ liệu. Ảnh, video được lưu trên máy chủ; cơ sở dữ liệu lưu thông tin mô tả và đường dẫn liên quan.
block 0617 | PDF 61 | trang 51 | 3.4.1. Sơ đồ thực thể – liên kết và các bảng dữ liệu chính
block 0618 | PDF 61 | trang 51 | Hệ thống gồm sáu bảng chính, được liên kết theo sơ đồ sau:
block 0620 | PDF 61 | trang 51 | Hình 3.4. Sơ đồ thực thể – liên kết của hệ thống.
block 0621 | PDF 61 | trang 51 | Trong sơ đồ, PK là khóa chính, FK là khóa ngoại và UK là thuộc tính có ràng buộc duy nhất. Các bảng sử dụng trường id để định danh bản ghi.
block 0622 | PDF 61 | trang 51 | Chức năng và các trường tiêu biểu của từng bảng dữ liệu được nêu ở bảng 3.4:
block 0623 | PDF 61 | trang 51 | Bảng 3.5. Các bảng dữ liệu
block 0625 | PDF 62 | trang 52 | 3.4.2. Tổ chức lưu trữ ảnh, video và minh chứng
block 0626 | PDF 62 | trang 52 | Kho tệp được chia thành bốn nhóm để thuận tiện quản lý, được nêu ở bảng 3.5:
block 0627 | PDF 62 | trang 52 | Bảng 3.6. Cấu trúc kho lưu trữ dữ liệu
block 0629 | PDF 62 | trang 52 | Khi tải lên, tên tệp được chuẩn hóa và bổ sung chuỗi định danh để hạn chế trùng tên. Tên gốc vẫn được lưu trong cơ sở dữ liệu để hiển thị cho người dùng.
block 0630 | PDF 62 | trang 52 | Khi tải kết quả, hệ thống tạo gói ZIP chứa thông tin tổng hợp dạng JSON, danh sách trường hợp được ghi nhận dạng CSV và các tệp liên quan hiện có. Nhờ liên kết giữa bản ghi và tệp, người dùng có thể đối chiếu số liệu thống kê với dữ liệu nguồn và minh chứng của từng phiên phân tích.
block 0631 | PDF 62 | trang 52 | 3.5. Thiết kế giao diện 
block 0632 | PDF 62 | trang 52 | Giao diện được thiết kế bằng tiếng Việt, tập trung vào các thao tác quản lý dữ liệu, tải ảnh/video, xem kết quả và thống kê. Các trang sử dụng thống nhất biểu mẫu, bảng dữ liệu, nút thao tác và thông báo trạng thái để người dùng dễ theo dõi.
block 0633 | PDF 63 | trang 53 | 3.5.1. Giao diện đăng nhập và đăng ký
block 0635 | PDF 63 | trang 53 | Hình 3.5. Thiết kế giao diện Đăng nhập, đăng ký
block 0636 | PDF 63 | trang 53 | 3.5.2. Giao diện quản lý dự án và địa điểm
block 0638 | PDF 63 | trang 53 | Hình 3.6. Thiết kế giao diện Quản lý dự án và địa điểm
block 0639 | PDF 64 | trang 54 | 3.5.3. Giao diện tải dữ liệu và theo dõi tiến trình
block 0641 | PDF 64 | trang 54 | Hình 3.7. Thiết kế giao diện tải dữ liệu và theo dõi tiến trình
block 0642 | PDF 64 | trang 54 | 3.5.4. Giao diện kết quả nhận diện và minh chứng
block 0644 | PDF 64 | trang 54 | Hình 3.8. Thiết kế giao diện kết quả nhận diện và minh chứng
block 0645 | PDF 65 | trang 55 | 3.5.5. Giao diện thống kê và tải kết quả
block 0647 | PDF 65 | trang 55 | Hình 3.9. Thiết kế giao diện thống kê và tải kết quả
block 0648 | PDF 65 | trang 55 | 3.6. Kết luận chương
block 0649 | PDF 65 | trang 55 | Chương 3 đã xác định các yêu cầu chức năng, yêu cầu phi chức năng và những trường hợp sử dụng chính của hệ thống. Trên cơ sở đó, chương trình bày kiến trúc tổng thể, quy trình tiếp nhận và phân tích ảnh/video, lưu minh chứng và tổng hợp thống kê.
block 0650 | PDF 65 | trang 55 | Thiết kế xử lý kết hợp mô hình ba lớp với bước liên kết vùng đầu và xe máy nhằm hỗ trợ hạn chế ghi nhận nhầm người đi bộ. Đối với video, cơ chế theo dõi và xác nhận trạng thái qua nhiều khung hình được sử dụng để giảm đếm trùng. Cơ sở dữ liệu và giao diện được tổ chức theo dự án, địa điểm và phiên phân tích, giúp người dùng quản lý, tra cứu và đối chiếu kết quả.
block 0651 | PDF 65 | trang 55 | Các nội dung thiết kế là cơ sở để triển khai hệ thống trong Chương 4. Chương tiếp theo trình bày quá trình tinh chỉnh mô hình từ hai lớp sang ba lớp, xây dựng các chức năng ứng dụng và kiểm thử, đánh giá mức độ đáp ứng mục tiêu của đề tài.
block 0653 | PDF 66 | trang 56 | CHƯƠNG 4: TINH CHỈNH MÔ HÌNH, XÂY DỰNG VÀ KIỂM THỬ HỆ THỐNG
block 0655 | PDF 66 | trang 56 | 4.1. Môi trường triển khai
block 0656 | PDF 66 | trang 56 | Quá trình thực hiện đề tài được tổ chức trên hai môi trường: môi trường huấn luyện mô hình trên Google Colab và môi trường triển khai, kiểm thử ứng dụng trên máy tính cá nhân.
block 0657 | PDF 66 | trang 56 | 4.1.1. Môi trường huấn luyện mô hình
block 0658 | PDF 66 | trang 56 | Mô hình được huấn luyện và đánh giá trên Google Colab bằng notebook Python, sử dụng GPU Tesla T4 để tăng tốc độ tính toán. Google Drive được kết nối với môi trường huấn luyện để lưu trữ tập dữ liệu, trọng số mô hình và các kết quả thực nghiệm.
block 0659 | PDF 66 | trang 56 | Các thông tin môi trường được ghi nhận trong báo cáo của lần huấn luyện được trình bày ở bảng 4.1:
block 0660 | PDF 66 | trang 56 | Bảng 4.1. Môi trường huấn luyện mô hình
block 0662 | PDF 66 | trang 56 | Ultralytics được sử dụng để nạp trọng số ban đầu, tinh chỉnh mô hình và đánh giá kết quả. Các tệp được lưu sau huấn luyện gồm trọng số mô hình, cấu hình huấn luyện, lịch sử các chỉ số, đồ thị và ma trận nhầm lẫn. Trọng số được lựa chọn sẽ được tích hợp vào ứng dụng để phục vụ nhận diện ảnh, video.
block 0663 | PDF 66 | trang 56 | 4.1.2. Môi trường triển khai và kiểm thử ứng dụng
block 0664 | PDF 66 | trang 56 | Ứng dụng được phát triển trên hệ điều hành Windows bằng Visual Studio Code và triển khai cục bộ trên máy tính cá nhân. Giao diện người dùng và máy chủ xử lý được tổ chức thành hai phần, trao đổi dữ liệu thông qua API HTTP.
block 0665 | PDF 66 | trang 56 | Được thể hiện qua bảng 4.2:
block 0666 | PDF 66 | trang 56 | Bảng 4.2. Môi trường triển khai và kiểm thử ứng dụng
block 0668 | PDF 67 | trang 57 | Trong cấu hình phát triển, giao diện chạy tại cổng 5173 và máy chủ API chạy tại cổng 8000. Mô hình nhận diện được nạp ở phía máy chủ, sử dụng CPU theo cấu hình mặc định. Thông tin quản lý và kết quả phân tích được lưu trong SQLite; các tệp ảnh, video và minh chứng được lưu trong thư mục của hệ thống.
block 0669 | PDF 67 | trang 57 | Việc kiểm thử tập trung vào các chức năng quản lý tài khoản, dự án, địa điểm, tải dữ liệu, phân tích và cung cấp kết quả. Bên cạnh thao tác kiểm tra trên giao diện, các bài kiểm thử phía máy chủ hỗ trợ kiểm tra API và logic xử lý nhận diện. Kịch bản và kết quả kiểm thử được trình bày tại mục 4.4.
block 0670 | PDF 67 | trang 57 | 4.2. Triển khai và kiểm thử mô hình nhận diện
block 0671 | PDF 67 | trang 57 | Quá trình huấn luyện được thực hiện bằng cách tinh chỉnh mô hình đã có trọng số hai lớp trên bộ dữ liệu ba lớp. Sau huấn luyện, mô hình được lựa chọn dựa trên kết quả của tập xác thực và được đánh giá trên tập kiểm thử.
block 0672 | PDF 67 | trang 57 | 4.2.1. Chuẩn bị và phân chia tập dữ liệu
block 0673 | PDF 67 | trang 57 | Dữ liệu được tổ chức theo định dạng YOLO, mỗi ảnh có một tệp nhãn chứa mã lớp và tọa độ hộp giới hạn của các đối tượng. Số lượng dữ liệu được ghi nhận trong lần huấn luyện được trình bày ở bảng 4.3:
block 0674 | PDF 67 | trang 57 | Bảng 4.3. Phân chia tập dữ liệu 
block 0676 | PDF 67 | trang 57 | Tập huấn luyện được sử dụng để cập nhật trọng số mô hình. Tập xác thực phục vụ theo dõi quá trình học và lựa chọn trọng số tốt nhất. Tập kiểm thử được sử dụng để đánh giá mô hình sau khi đã lựa chọn.
block 0677 | PDF 68 | trang 58 | Trong lần chạy này, các nhãn đều ở dạng hộp giới hạn, không có nhãn đa giác cần chuyển đổi. Số đối tượng thuộc các lớp trong tập huấn luyện lần lượt là 5.483 đối tượng bike, 10.812 đối tượng helmet và 4.847 đối tượng no-helmet. Phân bố này cho thấy số mẫu có mũ nhiều hơn số mẫu không mũ.
block 0678 | PDF 68 | trang 58 | 4.2.2. Cấu hình và quá trình huấn luyện
block 0679 | PDF 68 | trang 58 | Đề tài sử dụng trọng số YOLOv8n đã được huấn luyện cho hai lớp có mũ và không mũ làm điểm khởi tạo. Mô hình được tinh chỉnh trên bộ dữ liệu ba lớp, bổ sung lớp bike để cung cấp thông tin phương tiện cho bước xử lý của hệ thống.
block 0681 | PDF 68 | trang 58 | Hình 4.1. Ảnh dữ liệu đã gán nhãn 
block 0682 | PDF 68 | trang 58 | Quá trình tinh chỉnh được thực hiện bằng một lượt huấn luyện mới với cấu hình resume: false. Các tham số chính được trình bày trong bảng 4.4:
block 0683 | PDF 68 | trang 58 | Bảng 4.4. Thông tin tham số huấn luyện
block 0685 | PDF 69 | trang 59 | 4.2.3. Lựa chọn mô hình sau huấn luyện
block 0686 | PDF 69 | trang 59 | Sau huấn luyện, hai tệp trọng số được lưu gồm best.pt và last.pt. Trong đó, best.pt lưu trọng số có kết quả tốt nhất theo tiêu chí lựa chọn trên tập xác thực, còn last.pt lưu trọng số ở vòng cuối cùng.
block 0687 | PDF 69 | trang 59 | Đối chiếu lịch sử huấn luyện và thông tin trong tệp trọng số cho thấy best.pt tương ứng với vòng 88. Kết quả trên tập xác thực tại vòng này được tổng hợp qua bảng 4.5:
block 0688 | PDF 69 | trang 59 | Bảng 4.5. Chỉ số mô hình sau huấn luyện
block 0690 | PDF 69 | trang 59 | 4.2.4. Kết quả đánh giá trên tập kiểm thử
block 0691 | PDF 69 | trang 59 | Mô hình được lựa chọn được đánh giá trên tập kiểm thử gồm 823 ảnh và 3.530 đối tượng được gán nhãn. Các chỉ số tổng hợp thu được trình bày trong bảng 4.6:
block 0692 | PDF 69 | trang 59 | Bảng 4.6. Giá trị đánh giá trên tập kiểm thử
block 0694 | PDF 69 | trang 59 | F1-score tổng hợp trong báo cáo được tính bằng trung bình F1-score của ba lớp. Kết quả chi tiết theo từng lớp được trình bày trong bảng 4.7:
block 0695 | PDF 69 | trang 59 | Bảng 4.7. Chỉ số đánh giá sau kiểm thử
block 0698 | PDF 70 | trang 60 | Lớp bike đạt AP cao nhất. Lớp no-helmet có Precision đạt 90,283% nhưng Recall chỉ đạt 82,161%, thấp nhất trong ba lớp. Kết quả này cho thấy mô hình vẫn bỏ sót một phần đối tượng không đội mũ, cần được xem xét khi đánh giá hoạt động của hệ thống.
block 0699 | PDF 70 | trang 60 | Trong ma trận nhầm lẫn của lần đánh giá, có 691 đối tượng không mũ được nhận diện đúng, 31 đối tượng bị nhận thành có mũ và 74 đối tượng không được phát hiện. Các số liệu này phản ánh kết quả tại ngưỡng dùng để lập ma trận; không nên đồng nhất trực tiếp với Precision và Recall trong bảng tổng hợp nếu điều kiện tính khác nhau.
block 0700 | PDF 70 | trang 60 | Đường cong Precision–Recall thể hiện kết quả AP@50 của từng lớp phù hợp với bảng đánh giá. Khoảng cách giữa mAP@50 và mAP@50–95 cho thấy chất lượng định vị hộp giới hạn còn giảm khi yêu cầu mức độ khớp chặt chẽ hơn.
block 0701 | PDF 70 | trang 60 | 4.2.5. So sánh mô hình hai lớp và mô hình ba lớp
block 0702 | PDF 70 | trang 60 | So sánh mô hình YOLOv8n hai lớp và YOLO11n ba lớp trên cùng tập đối chứng gồm 491 ảnh, sau khi loại 332 ảnh có mã nguồn trùng với tập huấn luyện hoặc xác thực của bộ dữ liệu gốc. Các chỉ số được tính trên hai lớp chung là helmet và no-helmet, với đầu vào 640 × 640. Precision, Recall và F1-score được đánh giá tại ngưỡng confidence 0,40 và IoU 0,50 được thể hiện qua bảng 4.8 và 4.9 dưới dây: 
block 0703 | PDF 70 | trang 60 | Bảng 4.8. So sánh kết quả nhận diện của hai mô hình
block 0706 | PDF 70 | trang 60 | Bảng 4.9. Đánh giá trên tập test với nhãn NO-HELMET
block 0708 | PDF 71 | trang 61 | Qua thực nghiệm, mô hình YOLO ba lớp cho kết quả nhận diện helmet/no-helmet tốt hơn mô hình YOLO hai lớp trên tập đối chứng.
block 0709 | PDF 71 | trang 61 | 4.3. Kết quả xây dựng giao diện và chức năng
block 0710 | PDF 71 | trang 61 | 4.3.1. Giao diện đăng nhập và đăng ký
block 0711 | PDF 71 | trang 61 | Hình 4.2. Giao diện đăng nhập, đăng ký
block 0712 | PDF 71 | trang 61 | 4.3.2. Giao diện quản lý dự án và địa điểm
block 0714 | PDF 71 | trang 61 | Hình 4.3. Giao diện quản lý dự án và địa điểm
block 0715 | PDF 72 | trang 62 | 4.3.3. Giao diện tải dữ liệu và theo dõi tiến trình
block 0717 | PDF 72 | trang 62 | Hình 4.4. Giao diện tải dữ liệu và theo dõi tiến trình
block 0718 | PDF 72 | trang 62 | 4.3.4. Giao diện kết quả nhận diện và minh chứng
block 0721 | PDF 72 | trang 62 | Hình 4.5. Giao diện kết quả nhận diện và minh chứng
block 0723 | PDF 73 | trang 63 | 4.3.5. Giao diện thống kê và tải kết quả
block 0726 | PDF 73 | trang 63 | Hình 4.6. Giao diện thống kê và tải kết quả
block 0727 | PDF 73 | trang 63 | 4.4. Kiểm thử và đánh giá hoạt động của hệ thống
block 0728 | PDF 73 | trang 63 | Việc kiểm thử được thực hiện nhằm kiểm tra các chức năng quản lý dữ liệu, khả năng nhận diện và logic ghi nhận kết quả. Nội dung đánh giá gồm kiểm thử API, kiểm tra xử lý ảnh, theo dõi đối tượng trên video và xem xét các chỉ số đếm, thời gian xử lý.
block 0729 | PDF 73 | trang 63 | 4.4.1. Dữ liệu và kịch bản kiểm thử
block 0730 | PDF 73 | trang 63 | Dữ liệu phục vụ kiểm tra gồm dữ liệu giả lập cho các bài kiểm thử tự động và ảnh, video dùng để chạy thử mô hình. Gói kết quả thực nghiệm có dữ liệu dự đoán trên 8 ảnh và 1 video. Các kết quả này được sử dụng để quan sát khả năng phát hiện của mô hình, chưa thay thế cho việc đánh giá toàn bộ quy trình của ứng dụng.
block 0731 | PDF 73 | trang 63 | Các nhóm kịch bản kiểm thử được tổ chức như bảng 4.10:
block 0732 | PDF 73 | trang 63 | Bảng 4.10. Nội dung kiểm thử
block 0734 | PDF 74 | trang 64 | Các bài kiểm thử API được chạy trên cơ sở dữ liệu và thư mục lưu trữ riêng để tránh ảnh hưởng đến dữ liệu đang sử dụng.
block 0735 | PDF 74 | trang 64 | 4.4.2. Kết quả kiểm thử các chức năng
block 0736 | PDF 74 | trang 64 | Kiểm thử tự động phía máy chủ được thực hiện bằng pytest và FastAPI TestClient. Các thao tác được kiểm tra trình bày trong bảng 4.9:
block 0737 | PDF 74 | trang 64 | Bảng 4.11. Kết quả kiểm thử
block 0739 | PDF 74 | trang 64 | Hai bài kiểm thử API bao phủ các thao tác trên đều hoàn thành thành công. Kết quả xác nhận hoạt động của những trường hợp đã kiểm tra, chưa bao phủ toàn bộ dữ liệu không hợp lệ và các tình huống lỗi.
block 0740 | PDF 74 | trang 64 | Các chức năng tải ảnh, video, cập nhật tiến trình, hiển thị minh chứng và tải kết quả cần được kiểm thử bổ sung trên luồng sử dụng thực tế trước khi kết luận hoàn tất kiểm thử chức năng.
block 0741 | PDF 75 | trang 65 | 4.4.3. Kết quả nhận diện và xác định trạng thái trên ảnh
block 0743 | PDF 75 | trang 65 | Hình 4.7. Kết quả nhận diện trên ảnh
block 0744 | PDF 75 | trang 65 | 4.4.4. Kết quả theo dõi, xác nhận trạng thái và hạn chế đếm trùng trên video
block 0745 | PDF 75 | trang 65 | Cách xử lý chuỗi khung hình được kiểm tra bằng các đối tượng giả lập có vị trí và trạng thái thay đổi theo thời gian. Kết quả được nêu trong bảng 4.10:
block 0746 | PDF 75 | trang 65 | Bảng 4.12. Kiểm thử xác định trạng thái và hạn chế đếm trùng trên video
block 0748 | PDF 75 | trang 65 | Các kịch bản trên nằm trong bốn bài kiểm thử theo dõi và xác nhận trạng thái, đều đạt kết quả mong đợi. Tổng cộng, hai bài kiểm thử API và sáu bài kiểm thử logic xử lý hoàn thành thành công.
block 0749 | PDF 75 | trang 65 | 4.5. Nhận xét và hạn chế
block 0750 | PDF 75 | trang 65 | Từ kết quả huấn luyện, đánh giá mô hình và kiểm thử các thành phần, có thể nhận xét những kết quả đạt được, các trường hợp xử lý chưa chính xác và những hạn chế cần tiếp tục cải thiện.
block 0751 | PDF 76 | trang 66 | 4.5.1. Những kết quả đạt được
block 0752 | PDF 76 | trang 66 | Đề tài đã tinh chỉnh mô hình từ hai lớp thành ba lớp gồm bike, helmet và no-helmet, bổ sung thông tin phương tiện để phục vụ bước liên kết đối tượng và xác định trạng thái đội mũ. Trên tập kiểm thử gồm 823 ảnh, mô hình đạt Precision 90,276%, Recall 87,109%, mAP@50 93,411% và mAP@50–95 67,697%.
block 0753 | PDF 76 | trang 66 | Hình 4.8. Kết quả nhận diện sau khi tinh chỉnh mô hình
block 0754 | PDF 76 | trang 66 | Ứng dụng đã được xây dựng với các chức năng quản lý tài khoản, dự án, địa điểm, tiếp nhận ảnh và video, xem kết quả, thống kê và tải dữ liệu. Kết quả phân tích được tổ chức theo từng phiên, liên kết với tệp đầu vào và ảnh minh chứng để phục vụ tra cứu.
block 0755 | PDF 76 | trang 66 | Hệ thống đã triển khai cơ chế theo dõi đối tượng, xác nhận trạng thái qua nhiều lần quan sát và hạn chế ghi nhận lặp cho cùng mã theo dõi. Tám bài kiểm thử tự động về API và logic xử lý đều đạt kết quả mong đợi trong phạm vi các kịch bản đã kiểm tra.
block 0756 | PDF 76 | trang 66 | 4.5.2. Các trường hợp xử lý chưa chính xác và nguyên nhân
block 0757 | PDF 76 | trang 66 | Mô hình vẫn bỏ sót hoặc nhầm lẫn trạng thái đội mũ. Lớp no-helmet có Recall đạt 82,161%, thấp nhất trong ba lớp. Trong ma trận nhầm lẫn của lần đánh giá, 31 đối tượng không mũ bị nhận thành có mũ và 74 đối tượng không được phát hiện. Vùng đầu nhỏ, hình ảnh thiếu rõ nét hoặc bị che khuất có thể góp phần gây ra các sai sót này; cần đối chiếu từng ảnh để xác định nguyên nhân cụ thể.
block 0758 | PDF 77 | trang 67 | Việc liên kết và theo dõi đối tượng cũng có thể gặp khó khăn khi nhiều phương tiện ở gần nhau, giao nhau hoặc bị che khuất. Quy tắc dựa trên vị trí và khoảng cách tâm có khả năng liên kết nhầm vùng đầu hoặc gán lại mã theo dõi. Nếu một đối tượng mất dấu quá lâu rồi xuất hiện trở lại, hệ thống có thể xem đó là đối tượng mới và phát sinh đếm trùng.
block 0759 | PDF 77 | trang 67 | 4.5.3. Hạn chế của hệ thống
block 0760 | PDF 77 | trang 67 | Hệ thống hiện tập trung phân tích ảnh và video được tải lên, chưa triển khai xử lý trực tiếp từ camera. Khả năng hạn chế đếm trùng được thực hiện trong phạm vi từng video, chưa hỗ trợ nhận biết cùng một đối tượng giữa nhiều video hoặc nhiều camera.
block 0761 | PDF 77 | trang 67 | Cơ chế xác nhận trạng thái giúp giảm ảnh hưởng của dự đoán sai nhất thời nhưng có thể bỏ qua đối tượng xuất hiện quá ngắn hoặc liên tục mất phát hiện. Các tham số liên kết, theo dõi và xác nhận cần được lựa chọn phù hợp với dữ liệu đầu vào.
block 0762 | PDF 77 | trang 67 | Phạm vi kiểm thử chức năng còn giới hạn. Những bài kiểm thử tự động đã thực hiện chưa bao phủ đầy đủ quá trình tải dữ liệu, cập nhật tiến trình, tạo minh chứng và tải kết quả qua giao diện.
block 0763 | PDF 77 | trang 67 | 4.6. Kết luận chương
block 0764 | PDF 77 | trang 67 | 	Chương 4 đã trình bày môi trường triển khai, quá trình huấn luyện và đánh giá mô hình, kết quả xây dựng ứng dụng cùng các nội dung kiểm thử hệ thống. Ứng dụng đã tích hợp các chức năng quản lý dữ liệu, phân tích ảnh và video, lưu minh chứng, thống kê và tải kết quả. Các bài kiểm thử API và logic xử lý xác nhận hoạt động của những trường hợp đã được kiểm tra.
block 0765 | PDF 77 | trang 67 | Các kết quả phản ánh ưu thế nhận diện của mô hình ba lớp trên tập dữ liệu đã đánh giá. Bên cạnh kết quả đạt được, hệ thống vẫn còn hạn chế về khả năng nhận diện đối tượng không đội mũ, phạm vi nhãn phương tiện và độ ổn định khi theo dõi. Những kết quả và hạn chế này là cơ sở để xác định hướng hoàn thiện hệ thống trong thời gian tiếp theo.
block 0767 | PDF 78 | trang 68 | KẾT LUẬN 
block 0768 | PDF 78 | trang 68 | Đề tài đã nghiên cứu và xây dựng hệ thống phát hiện trường hợp không đội mũ bảo hiểm từ ảnh, video, kết hợp mô hình YOLO với các bước xử lý ảnh, liên kết đối tượng và theo dõi trên video. Hệ thống hỗ trợ tổ chức dữ liệu theo dự án, địa điểm và phiên phân tích, giúp người dùng tra cứu kết quả và xem các minh chứng tương ứng.
block 0769 | PDF 78 | trang 68 | Về mô hình nhận diện, đề tài đã thực hiện tinh chỉnh từ trọng số hai lớp sang bộ dữ liệu ba lớp, bổ sung thông tin phương tiện để hỗ trợ xác định trạng thái đội mũ trong ngữ cảnh. Kết quả đánh giá trên tập kiểm thử các chỉ số đều ổn định
block 0770 | PDF 78 | trang 68 | Về ứng dụng, đề tài đã xây dựng các chức năng đăng ký, đăng nhập, quản lý dự án và địa điểm, tải dữ liệu, theo dõi tiến trình phân tích, xem kết quả, thống kê và tải kết quả. Cơ chế xác nhận trạng thái qua nhiều lần quan sát và ghi nhận theo mã theo dõi được triển khai nhằm hạn chế ảnh hưởng của dự đoán sai nhất thời và giảm ghi nhận trùng. Các bài kiểm thử API và logic xử lý đã đạt kết quả mong đợi trong phạm vi được kiểm tra.
block 0771 | PDF 78 | trang 68 | Tuy nhiên, hệ thống vẫn còn bỏ sót hoặc nhầm lẫn đối tượng không đội mũ do các yếu tố dữ liệu. Khả năng theo dõi còn phụ thuộc vào vị trí đối tượng, mức độ che khuất và thời gian mất phát hiện. 
block 0772 | PDF 78 | trang 68 | Kết quả của đề tài tạo cơ sở hỗ trợ người quản lý giảm khối lượng quan sát, kiểm đếm thủ công và thuận tiện kiểm tra lại các trường hợp được ghi nhận. Các hình ảnh minh chứng và số liệu tổng hợp có thể cung cấp thông tin tham khảo cho hoạt động tuyên truyền, lựa chọn địa điểm và khung giờ cần ưu tiên giám sát, góp phần nâng cao hiệu quả quản lý và ý thức chấp hành giao thông.
block 0773 | PDF 78 | trang 68 | Trong thời gian tới, đề tài sẽ tiếp tục được hoàn thiện thông qua việc bổ sung dữ liệu thực tế, cải thiện độ chính xác nhận diện và khả năng theo dõi, đồng thời tối ưu tốc độ xử lý. Trên cơ sở đó, hệ thống hướng tới tích hợp dữ liệu từ live camera và từng bước triển khai thử nghiệm trong điều kiện giao thông thực tế.
block 0775 | PDF 79 | trang 69 | TÀI LIỆU THAM KHẢO
block 0777 | PDF 79 | trang 69 | [1] World Health Organization, Helmets: A Road Safety Manual for Decision-Makers and Practitioners, ấn bản thứ 2. Geneva: World Health Organization, 2023.
block 0778 | PDF 79 | trang 69 | [2] F. W. Siebert và H. Lin, “Detecting motorcycle helmet use with deep learning,” Accident Analysis & Prevention.
block 0779 | PDF 79 | trang 69 | [3] L. Choi và R. Greer, “Evaluating Vision-Language Models for Zero-Shot Detection, Classification, and Association of Motorcycles, Passengers, and Helmets,”
block 0780 | PDF 79 | trang 69 | [4] J. Redmon, S. Divvala, R. Girshick và A. Farhadi, “You Only Look Once: Unified, Real-Time Object Detection,” trong Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition, 2016, tr. 779–788.
